adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,"[878, 12, 28]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",5065.316,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,False,7.7,7674
False,/nDmPjKLqLwWyd4Ssti8HCdhW5cZ.jpg,[28],1048300,en,Adrenaline,A female FBI agent holidaying in Eastern Europe with her family gets her life upside down when her daughter is kidnapped. She has to team up with a criminal on the run to save her daughter before time runs out.,2153.919,/qVzRt8c2v4gGBYsnaflXVVeQ9Lh.jpg,2022-12-15,Adrenaline,False,5.5,16
False,/ouB7hwclG7QI3INoYJHaZL4vOaa.jpg,"[16, 10751, 14, 12, 35, 18]",315162,en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2012.834,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,2022-12-07,Puss in Boots: The Last Wish,False,8.3,5389
False,/54IXMMEQKlkPXHqPExWy98UBmtE.jpg,[27],1008005,es,La niña de la comunión,"Spain, late 1980s. Newcomer Sara tries to fit in with the other teens in this tight-knit small town in the province of Tarragona. If only she were more like her extroverted best friend, Rebe. They go out one night at a nightclub, on the way home, they come upon a little girl holding a doll, dressed for her first communion. And that's when the nightmare begins.",1875.354,/sP6AO11a7jWgsmT9T8j9EGIWAaZ.jpg,2023-02-10,The Communion Girl,False,6.5,64
False,/tFaC1Fb1sv1dALB0i9Avi76MHmn.jpg,"[10751, 28, 12]",946310,nl,De Piraten van Hiernaast II: De Ninja's van de Overkant,"The pirates feel right at home in Sandborough, but the atmosphere cools right down when the ninjas come to live in the street. After all, pirates and ninjas are sworn enemies!  While pirate captain Hector Blunderbuss struggles to get rid of his new neighbours, son Billy and ninja daughter Yuka become friends. The pirates challenge the ninjas to the ultimate battle at the village's annual hexathlon. Who will win the match? Ninjas are faster and more agile of course, but pirates are the best cheats in all of the seven seas...",1770.166,/uDsvma9dAwnDPVuCFi99YpWvBk0.jpg,2022-04-20,Pirates Down the Street II: The Ninjas from Across,False,6.3,30
False,/eNJhWy7xFzR74SYaSJHqJZuroDm.jpg,"[28, 878]",1033219,en,Attack on Titan,"As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",1379.099,/qNz4l8UgTkD8rlqiKZ556pCJ9iO.jpg,2022-09-30,Attack on Titan,False,6.0,109
False,/m1fgGSLK0WvRpzM1AmZu38m0Tx8.jpg,[28],842945,en,Supercell,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.",1374.787,/gbGHezV6yrhua0KfAgwrknSOiIY.jpg,2023-03-17,Supercell,False,6.3,134
False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"[28, 12, 878]",505642,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",1203.354,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022-11-09,Black Panther: Wakanda Forever,False,7.3,4688
False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"[28, 12, 878, 14]",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",1040.446,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022-10-19,Black Adam,False,7.1,4808
False,/sp7MPK2K60LLd7A6zjHKsfgjFil.jpg,"[27, 53]",296271,en,The Devil Conspiracy,"The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.",961.042,/2lUYbD2C3XSuwqMUbDVDQuz9mqz.jpg,2023-01-13,The Devil Conspiracy,False,6.3,134
False,/2Eewgp7o5AU1xCataDmiIL2nYxd.jpg,"[18, 36]",943822,en,Prizefighter: The Life of Jem Belcher,"At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.",948.439,/x3PIk93PTbxT88ohfeb26L1VpZw.jpg,2022-06-30,Prizefighter: The Life of Jem Belcher,False,6.2,118
False,/u5nY7pY2Y58o7dSM9cy6NclOV8V.jpg,[27],1023313,es,La Exorcista,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.",944.464,/d07xtqwq1uriQ1hda6qeu8Skt5m.jpg,2022-11-02,The Exorcist,False,5.7,71
False,/dlrWhn0G3AtxYUx2D9P2bmzcsvF.jpg,"[878, 27, 35]",536554,en,M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",932.631,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,2022-12-28,M3GAN,False,7.4,2479
False,/1PRWW60yQparK1I8Soyy9Evf7Dv.jpg,"[16, 35, 10751, 18, 12]",869626,en,Marcel the Shell with Shoes On,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. But when a documentary filmmaker discovers them amongst the clutter of his Airbnb, the short film he posts online brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.",891.966,/jaYmP4Ct8YLnxWAW2oYkUjeXtzm.jpg,2022-06-24,Marcel the Shell with Shoes On,False,7.8,249
False,/exI61quYa7xMfcIDSp674UnvrhG.jpg,"[10752, 28]",840326,fi,Sisu,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",826.214,/dHx5yuBb05U9vNaNhIBD7jWyxPk.jpg,2023-01-27,Sisu,False,7.1,25
False,,[53],1076605,es,Cazadora,"In a dystopian future, a mother and her teenage son go hunting in the mountains and encounter a stranger who threatens to upend their relationship.",800.644,/8QxCd3pSSrj6QqaG4fkNkaJmUa.jpg,2023-01-19,Cazadora,False,6.0,17
False,/zGoZB4CboMzY1z4G3nU6BWnMDB2.jpg,"[28, 35, 10749]",758009,en,Shotgun Wedding,"Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.",700.64,/t79ozwWnwekO0ADIzsFP1E5SkvR.jpg,2022-12-28,Shotgun Wedding,False,6.3,785
False,/70aVSo3fuZ94jyQ3rT64afEf8lV.jpg,"[16, 12, 35, 10751, 14]",676710,en,The Amazing Maurice,"Maurice is a streetwise ginger cat who comes up with a money-making scam by befriending a group of self-taught talking rats. When Maurice and the rodents meet a bookworm called Malicia, their little con soon goes down the drain.",696.464,/ydhZeUjbzVEFclUpMhLfDZSavUY.jpg,2022-12-16,The Amazing Maurice,False,7.0,67
False,/g03h9TULzJZOoXA34Abp5LE7lvt.jpg,"[16, 14, 12]",876792,ja,劇場版 転生したらスライムだった件 紅蓮の絆編,"A long-running conspiracy is swirling over a mysterious power wielded by the Queen in Raja, a small country west of Tempest. When a slime who evolved into a Demon Lord named Rimuru Tempest crosses paths with Hiiro, a survivor of the Ogre race, an incredible adventure packed with new characters begins. The power of bonds will be put to the test!",676.711,/xITip9n9uMAUA0TU6niMXU2tbh0.jpg,2022-11-25,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,False,7.6,170
False,/AsEgGeccI32SwMBkxpwhOkhbzmF.jpg,"[28, 878, 53, 27]",1011679,en,Shark Side of the Moon,"Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.",606.154,/v5CfpzxoJDkZxjZAizClFdlEF0U.jpg,2022-08-12,Shark Side of the Moon,False,5.3,118
False,/94kQGMiFbs5MUTlt7kj9dewsMDi.jpg,"[27, 53]",676547,en,Prey for the Devil,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",599.847,/iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg,2022-10-23,Prey for the Devil,False,7.1,634
False,/9H7oVnG4P75bda0y1t7EGDoPnRD.jpg,"[10752, 28, 12, 53]",964426,no,Gulltransporten,"Fredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire Norwegian gold reserve away from the Nazis during the invasion of Norway.",597.973,/6E4LopmCMUXcMLIv7o3jw1xQrgJ.jpg,2022-12-15,Gold Run,False,6.6,25
False,/2E6pIbJien7B9yWpaz8Yd2njzUI.jpg,"[18, 27]",1026563,es,13 exorcismos,"After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.",578.048,/8LpnMIqpRiwxpbGR33ALCmVl7gj.jpg,2022-11-04,13 Exorcisms,False,5.5,63
False,/hlxduUs8y9icWGMzYCDLcYHEQ2u.jpg,[53],985939,en,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",564.092,/v28T5F1IygM8vXWZIycfNEm3xcL.jpg,2022-08-11,Fall,False,7.3,2777
False,/7cjY1IIrW1RwmHN8USPryKTAQHq.jpg,[27],988165,en,H.P. Lovecraft's Witch House,"Determined to prove the possibility of alternate dimensions, a graduate student unknowingly unlocks a gateway to unimaginable horror. Based on the H.P. Lovecraft's short story The Dreams in the Witch House.",537.483,/5KmscR49WkmuPJKjmK4OUmsRn5C.jpg,2022-06-29,H.P. Lovecraft's Witch House,False,5.8,12
False,/53BC9F2tpZnsGno2cLhzvGprDYS.jpg,"[14, 28, 12, 53]",736526,no,Troll,"Deep inside the mountain of Dovre, something gigantic awakens after being trapped for a thousand years. Destroying everything in its path, the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",531.048,/9z4jRr43JdtU66P0iy8h18OyLql.jpg,2022-12-01,Troll,False,6.7,1365
False,/oO5pgJyPRaR0FgOhkeCNvb8K8ix.jpg,[27],1104191,es,Solo Somos Carne,"A regular day for Bans and Uzu, little did they know a series of events would bring them face to face with an alternate reality and their chance to confront Dixon, a disturbed psychopath with blood on his hands and demons in his mind.",528.535,/9eVqMhZEbq53VFbmRNqh3yzT0xM.jpg,2022-10-13,Solo Somos Carne,False,7.2,6
False,/d0u1zrbOZJYQZzXYhrG7RhARxSI.jpg,"[53, 9648]",993621,en,The Stranger in Our Bed,A newly married woman leaves her wealthy husband for a lover who mysteriously disappears. Things start to unravel and become life-threatening on a trip to the husband's family estate.,492.249,/9bX57QlmpI1DcWLkggGmg5guqJx.jpg,2022-08-26,The Stranger in Our Bed,False,6.3,24
False,,"[35, 28]",1090328,es,La Trampa,,489.991,/nXhPTEIEDxekCZg9DwZQNshZ432.jpg,2022-08-11,La Trampa,False,6.6,7
False,/ve3RLbCSuUKA02OZJ5F0fMmXVMn.jpg,"[27, 53]",829410,en,Sick,"In the midst of the pandemic, college student Parker and her best friend Miri decide to self-quarantine at her family's lake house, where they will be alone — or so they think.",484.794,/nBgxSimgLMGYCQckRQw7C2f7row.jpg,2022-09-11,Sick,False,6.3,130
False,/7ZO9yoEU2fAHKhmJWfAc2QIPWJg.jpg,"[53, 28, 878]",766507,en,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",476.131,/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,2022-08-02,Prey,False,7.8,5424
False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",463.198,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,2021-12-15,Spider-Man: No Way Home,False,8.0,17262
False,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,"[28, 18]",361743,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",460.665,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-24,Top Gun: Maverick,False,8.3,6714
False,/ifUfE79O1raUwbaQRIB7XnFz5ZC.jpg,"[27, 9648, 53]",646385,en,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",452.342,/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,2022-01-12,Scream,False,6.7,2364
False,/tU3mnpFLOAp2Ia6vHvGIw8ewJQb.jpg,[10402],1041513,en,Encanto at the Hollywood Bowl,"A taped performance of the Encanto Live-to-Film Concert Experience at the Hollywood Bowl. The original cast puts on a miracle of a concert as they sing the favorite songs, accompanied by a full orchestra and 50 person ensemble, and the Hollywood Bowl transforms into Casita!",432.744,/sa3Ku5yNVjp8NloWxJoI9dQjvOi.jpg,2022-12-28,Encanto at the Hollywood Bowl,False,7.1,130
False,/hT9ZUwLN5tB2O7miBu1oIMJFqJT.jpg,"[12, 28, 878]",507086,en,Jurassic World Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",431.303,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,2022-06-01,Jurassic World Dominion,False,6.9,4750
False,/4B6bYj7gr5wQBvQQhDwr6tzJyGR.jpg,"[10752, 18]",966220,uk,Снайпер. Білий ворон,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.",429.079,/295gZzTXMvuiIG0U19h4M44PXxI.jpg,2022-05-03,Sniper: The White Raven,False,7.6,366
False,/yEQqrW61rwNuVRHTjgHOAU4dXNE.jpg,"[28, 12, 10751, 35]",675353,en,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",426.614,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022-04-08,Sonic the Hedgehog 2,False,7.6,3881
