adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/jsoz1HlxczSuTx0mDl2h0lxy36l.jpg,"[14, 28, 35]",616037,en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",420.421,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,2022-07-06,Thor: Love and Thunder,False,6.6,5855
False,/xTsERrOCW15OIYl5aPX7Jbj38wu.jpg,"[28, 18, 36]",724495,en,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",416.18,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,2022-09-16,The Woman King,False,7.8,1433
False,/kMZIMqEXO5MFd5Y1Ha2jZZF4pvF.jpg,"[27, 9648, 53]",882598,en,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",412.43,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,2022-09-23,Smile,False,6.8,1959
False,/A2avUoNFstnBhAnHiogXQs4c9Bt.jpg,"[18, 27, 9648]",772515,es,Huesera,"Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in, she's forced deeper into a chilling world of dark magic that threatens to consume her.",405.68,/zgpj76z9byUgcWnxLDmtZ3XqfvN.jpg,2023-02-10,Huesera: The Bone Woman,False,5.8,191
False,/nWs0auTqn2UaFGfTKtUE5tlTeBu.jpg,"[10751, 35, 14]",668482,en,Roald Dahl's Matilda the Musical,"An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.",405.183,/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg,2022-11-25,Roald Dahl's Matilda the Musical,False,6.8,562
False,/oeBom7DLr85lixEkWOGmhCPEfuY.jpg,"[80, 18, 53]",842942,en,Bandit,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.",400.384,/yph9PAbmjYPvyvbeZvdYIhCZHEu.jpg,2022-09-23,Bandit,False,6.2,153
False,/bKWFetR4injOJXOGHeLuTD7wHI4.jpg,"[27, 53, 14]",994128,es,Viejos,"An octogenarian named Manuel falls into a state of dementia after the sudden suicide of his wife, sparking a series of paranormal events that will put his family’s lives at risk.",396.386,/88f35mGJOIE1nXgst5o4FvEDVzr.jpg,2023-04-21,The Elderly,False,5.5,2
False,/Aqldsq65Nj1KAkQD2MzkZsAk5N5.jpg,"[28, 80, 18, 53]",846433,en,The Enforcer,"A noir thriller set in Miami, the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking, putting a young runaway he’s befriended at risk. He sacrifices everything to save the young girl from the deadly organization he’s spent his life building.",396.151,/pXC8JJbfnRWtbD8i2yKFqqWEO4X.jpg,2022-09-22,The Enforcer,False,7.4,300
False,/cRdA9xjHBbobw4LJFsQ3j1CgpVq.jpg,[27],663712,en,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",390.07,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,2022-10-06,Terrifier 2,False,6.9,1164
False,/dqTOcdf1ILtakesKUhBOutaIee3.jpg,"[16, 10749, 878]",874743,ja,僕が愛したすべての君へ,"While struggling to make friends after his parents’ divorce, Koyomi Takasaki meets Kazune Takigawa, but apparently, they already have. Kazune reveals that she’s from World Line 85, an alternate universe in which she and Koyomi are lovers. But in a reality where moving between dimensions is natural, could Koyomi be the one from another world?",388.79,/yl4WOrXTVFihtd6wcxpwkKD7xoP.jpg,2022-10-07,To Every You I've Loved Before,False,6.3,6
False,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,"[28, 53, 80]",458156,en,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",384.587,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,2019-05-15,John Wick: Chapter 3 - Parabellum,False,7.4,9126
False,/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,"[16, 28, 12, 14, 53]",635302,ja,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",379.179,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,False,8.3,3065
False,/vXjpwkXPirBmgdEpIknfN8ziDD.jpg,"[16, 12, 14, 35]",947938,ru,Мальчик-дельфин,"When a plane crashes at sea, dolphins rescue a little boy and raise him as family. He lives a carefree life beneath the waves until an evil monster seizes power over the underwater world. The boy is banished to dry land, where a kind-hearted captain takes him in. With the captain’s help, the boy sets out on a journey to solve the mystery of his true identity.",378.503,/gISoDEiaUH9BNEunmLC7FgUVaia.jpg,2022-04-07,Dolphin Boy,False,6.6,54
False,/iKUwhA4DUxMcNKu5lLSbDFwwilk.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",376.338,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.4,7351
False,/kmzppWh7ljL6K9fXW72bPN3gKwu.jpg,"[28, 35, 14, 80]",1013860,en,R.I.P.D. 2: Rise of the Damned,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",358.259,/g4yJTzMtOBUTAR2Qnmj8TYIcFVq.jpg,2022-11-15,R.I.P.D. 2: Rise of the Damned,False,6.6,457
False,/ubTGkxyRvYldfA0HjULNnEwEyM4.jpg,"[53, 27]",790409,es,El último hereje,"Juan Conte is a world-renowned spokesman of the new atheism. After suffering a heart attack, he receives a transplant and a change in his personal life begins, opening up to the possibility of being in a couple for the first time. Juan will go on a journey of horror and pain, in which his vision of reality will be put to the test.",357.659,/1j9B1iao0kqZnfSUqPadfXDdWNg.jpg,2022-11-09,The Last Heretic,False,5.6,18
False,/sBOenwOZGRN5nZZGw4TxwtnfrEf.jpg,"[28, 35, 80, 53]",899112,en,Violent Night,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",357.324,/1XSYOP0JjjyMz1irihvWywro82r.jpg,2022-11-30,Violent Night,False,7.5,1393
False,/Xfn9eDOaZKSz5W3PRoJI928I9c.jpg,"[28, 12, 36, 18]",875104,zh,叶问宗师觉醒,"When a young Master Ip stops a kidnapping, he ignites a turf war with a ruthless human trafficking ring. In retaliation, the gang kidnaps one of Ip Man’s close friends, forcing him to face the group’s brutal boxing champion head-on.",354.733,/A7vhdyGrpPMKXsuFBZzxmave94F.jpg,2023-03-24,Ip Man: The Awakening,False,4.8,6
False,/5pMy5LF2JAleBNBtuzizfCMWM7k.jpg,"[10752, 36, 18]",653851,en,Devotion,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,350.588,/26yQPXymbWeCLKwcmyL8dRjAzth.jpg,2022-11-23,Devotion,False,7.3,447
False,/9j0V8Fw5u4cv9cESUXUmTGmpXU5.jpg,"[16, 10751, 35]",1058732,en,The Simpsons Meet the Bocellis in Feliz Navidad,"This Christmas, Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia.",348.542,/9rJFKvYvSyQ3HoTl1gcU55FOzYi.jpg,2022-12-15,The Simpsons Meet the Bocellis in Feliz Navidad,False,5.2,35
False,/90ZZIoWQLLEXSVm0ik3eEQBinul.jpg,"[28, 27, 53]",988233,en,Hex,"Following a mysterious disappearance on a jump, a group of skydivers experiences paranormal occurrences that leave them fighting for their lives.",348.139,/mFukGiFZaVYoXIR8nrE95LlfbHG.jpg,2022-11-01,Hex,False,6.1,64
False,/xnAi4BRoO3ZQ3wwxGn6UNoxQzDq.jpg,"[80, 28]",823999,it,Diabolik - Ginko all'attacco!,"Diabolik nearly gets caught in Inspector Ginko's latest trap, leaving his partner in crime Eva Kant behind in the escape. Furious, Eva offers Ginko her help in capturing the King of Terror, but the former has to face the return of an old flame of his.",346.88,/8QVbWBv94BAT9u1q9uJccwOxMzt.jpg,2022-11-17,Diabolik - Ginko Attacks,False,5.9,239
False,/ceYZCBfwbBwSpGJ6PapNVw5jqLG.jpg,"[16, 18, 12, 14]",916224,ja,すずめの戸締まり,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",340.711,/vIeu8WysZrTSFb2uhPViKjX9EcC.jpg,2022-11-11,Suzume,False,7.9,253
False,/r17jFHAemzcWPPtoO0UxjIX0xas.jpg,"[28, 53, 80]",324552,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",340.529,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,2017-02-08,John Wick: Chapter 2,False,7.3,11428
False,/maxRhndtC4BJABvqRPvYNu69CHA.jpg,"[28, 18, 36]",551271,en,Medieval,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,338.882,/eeUNWsdoiOijOZAMaWFDA5Pb1n8.jpg,2022-09-08,Medieval,False,7.2,367
False,/mqsPyyeDCBAghXyjbw4TfEYwljw.jpg,"[18, 10752, 36]",49046,de,Im Westen nichts Neues,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",338.002,/2IRjbi9cADuDMKmHdLK7LaqQDKA.jpg,2022-10-07,All Quiet on the Western Front,False,7.8,2605
False,/8c9c4xg0IdXDg627uQF35K54VpC.jpg,"[10749, 35]",800301,en,What's Love Got to Do with It?,Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,337.252,/14fGGPAL5PQxuesjO4CFoDJEH5G.jpg,2023-01-26,What's Love Got to Do with It?,False,6.5,46
False,/yswml0UPEVFCVc3GJ1PF2BNyaNs.jpg,"[16, 10749, 878]",874745,ja,Kimi wo Aishita Hitori no Boku e,"Koyomi Hidaka and Shiori Sato meet at his father’s research center and begin to fall in love, but so do their parents, who eventually marry. To avoid becoming stepsiblings, they decide to run away to a parallel universe. Traveling between dimensions is common in their world, but not without repercussions. Does a universe exist for the young couple, and what will it cost them to find it?",336.526,/gt7kD8MjObtgQYH130pZiLTN0qx.jpg,2022-10-07,"To Me, the One Who Loved You",False,5.7,6
False,/46FRuCeAn6TrS4F1P4F9zhyCpyo.jpg,[18],785084,en,The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,336.12,/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,2022-12-09,The Whale,False,8.1,2149
False,/b0PlSFdDwbyK0cf5RxwDpaOJQvQ.jpg,"[80, 9648, 53]",414906,en,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",335.54,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,The Batman,False,7.7,7873
False,/isGINC82PZmMblEJP2rBAvSlX37.jpg,"[16, 10751, 12, 35]",599019,ru,Большое путешествие. Специальная доставка,"It has been a year since Mic Mic and Oscar returned from their incredible adventure. And now, after a diabolical plan by Vulture to sabotage the delivery of the Grizzly cub to his opponent in the American presidential elections, Mic Mic, Oscar, Panda teenager and Stork set off on another great adventure as they ride a zeppelin to return little Grizzly to its rightful parents and save the American elections and the whole continent from an erupting volcano.",328.456,/dabXVfrAFfhDte8XVemom3mTJog.jpg,2022-10-07,Big Trip 2: Special Delivery,False,6.6,62
False,/etP5jwlwvkNhwe7jnI2AyA6ZKrR.jpg,"[878, 27]",575322,en,Звёздный разум,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",327.767,/rFljUdOozFEv6HDHIFpFvcYW0ec.jpg,2022-01-06,Project Gemini,False,5.8,317
False,/e782pDRAlu4BG0ahd777n8zfPzZ.jpg,"[16, 14, 18, 10402]",555604,en,Guillermo del Toro's Pinocchio,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",326.352,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,2022-11-09,Guillermo del Toro's Pinocchio,False,8.2,2225
False,/qdFrqXYH6PtyAVlegub7bpoSgro.jpg,"[16, 12, 35, 10751]",573171,es,Huevitos Congelados,"Follow the adventures of Toto and his family, who will have to travel to the South Pole to fulfill their promise to return a polar bear and some Spanish penguins to their home. In order to fulfill the promise, they will have to overcome some obstacles that will teach them how important teamwork is.",325.435,/d7i9UXE7IfPx2uYtYKzgjs6zYzR.jpg,2022-12-14,A Frozen Rooster,False,7.8,274
False,/32GH8Mi4GmTPIQyd6IW1FFrHWrj.jpg,[28],965839,en,Lord of the Streets,"When Jason Dyson refuses to make his prized fighter throw an MMA match, a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.",323.302,/n9YWVQRc0zw0nwrFcOkOpffZxjc.jpg,2022-04-22,Lord of the Streets,False,5.3,62
False,/9irF0UfKK45ZHyE7p3aTiTVfoMw.jpg,"[9648, 53, 27]",782936,en,Nocebo,"A fashion designer hires a nanny from the Philippines to assist her in caring for her family while she is suffering from what she believes is a tick-related illness. The nanny uses traditional Filipino folk healing techniques to help her, but in the process of doing so, she uncovers a horrifying truth about why she is there and why her employer is actually sick.",320.143,/3FPnDTlX0LsaU4VD5mc82BMbchA.jpg,2022-11-03,Nocebo,False,6.2,73
False,/sKvQUSyqsFq8e1ts6oo3Xp3dPH2.jpg,"[16, 12, 35, 14]",585511,en,Luck,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",310.933,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg,2022-08-05,Luck,False,7.9,1241
False,/v2LilmCylr3bL9TCZSj6syjowZh.jpg,"[35, 18]",937278,en,A Man Called Otto,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",310.377,/130H1gap9lFfiTF9iDrqNIkFvC9.jpg,2022-12-28,A Man Called Otto,False,7.9,1092
False,/iU02yC9tkeAo3WVpDgTSNyhFslI.jpg,[35],767401,en,1Up,"After Valerie Lee quits her college esports team, she quickly realizes that her decision comes at the cost of her scholarship. Valerie soon discovers a loophole to save her collegiate future, if she can find a coach and assemble a whole new varsity-caliber team capable of reaching the State Finals.",301.156,/kqhLjoz3FGywYXUNTCPItfDY2N8.jpg,2022-07-15,1Up,False,5.3,23
False,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,[27],836225,en,The Exorcism of God,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",300.42,/9X9wKbF0ED1AQpgIkvq0MG4Y4wi.jpg,2022-03-11,The Exorcism of God,False,7.2,813
False,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,"[28, 12, 14, 878]",19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",294.689,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,2009-12-15,Avatar,False,7.6,29007
False,/pr5B7Hb7711QQDirAyS5P7fKjts.jpg,"[53, 28, 27, 12]",760741,en,Beast,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",294.04,/f18rGcLlawKjNC5KRh36S0mvRlY.jpg,2022-08-11,Beast,False,6.8,1082
